網址,標題
https://crazy.ck101.com/post/13411,4歲包租婆屌打3歲自耕農，搞違法宿舍侯也覺得很奇怪
https://crazy.ck101.com/post/13408,不滿台鐵驗票！　阿伯嗆列車長：大陸都不用
https://crazy.ck101.com/post/13406,女賊爬天花板躲警不成　摔落地面狼狽落網
https://crazy.ck101.com/post/13400,「世界盃最大贏家是中國」 溫嵐貼文遭罵翻
https://crazy.ck101.com/post/13399,和艦 A 股上市掀企業出走潮，聯電：這太沉重了
https://crazy.ck101.com/post/13397,台大媽嗆日本地勤「白癡」 貼登機證喊冤遭打臉…真相曝光
https://crazy.ck101.com/post/13396,你還在笑曲棍球嗎？黃國昌怒K黨法院7年重罪變1年
https://crazy.ck101.com/post/13393,高雄市府18月狂賣113億地　低價宅時代結束
https://crazy.ck101.com/post/13392,【獨家片】太陽能廠商綠能爆變相無薪假　任意調動職務逼人走
https://crazy.ck101.com/post/13387,連學生的出來講幹話了嗎???
https://crazy.ck101.com/post/13385,指考7/1登場　大台北高溫飆36度
https://crazy.ck101.com/post/13383,【2018世足】谷阿莫惹惱FIFA！　愛爾達小編開酸嗆「準備去函」
https://crazy.ck101.com/post/13381,想當白人…黑人男童乳液抹臉　媽媽當場「黑人問號」
https://crazy.ck101.com/post/13378,扯！台女被罰行李超重費  怒嗆自己在行政院上班
https://crazy.ck101.com/post/13377,柯Ｐ替演習總結　酸獨派當示範「很快就被撲滅了」
https://crazy.ck101.com/post/13375,被丟鞋司空見慣？陳峻涵：大家一起讓柯文哲司空見慣
https://crazy.ck101.com/post/13372,佛系店員遇搶劫超淡定 還叫搶匪自己拿錢
https://crazy.ck101.com/post/13370,拜託找專家！　中古世紀木雕被修復成卡通人
https://crazy.ck101.com/post/13369,墨西哥這城市暴力頻傳 警察卻沒槍 配彈弓值勤
https://crazy.ck101.com/post/13356,【世足不斷更新】衛冕軍德國0比2輸南韓　慘遭淘汰
https://crazy.ck101.com/post/13354,館長自居正義化身對侯友宜暴利不吭聲　遭議員助理點名踢館
https://crazy.ck101.com/post/13346,教育部函「已悉」高雄醫學大學代理校長　黃國昌：什麼垃圾公文？
https://crazy.ck101.com/post/13344,找錢碰手背就要丟工作 你這是在性騷擾!
https://crazy.ck101.com/post/13343,4男惡搞北捷告示牌垃圾桶搬入車廂
https://crazy.ck101.com/post/13340,垃圾桶搬進捷運車廂內　這旅客很有事
https://crazy.ck101.com/post/13339,上班不要看－恥度爆表
https://crazy.ck101.com/post/13335,手遊5星角色被刪光　駭客被逮！共賠11萬
https://crazy.ck101.com/post/13332,台北市華山分屍案木屋 婦目擊20裸男女玩樂
https://crazy.ck101.com/post/13331,送錢釣魚文（尚不確定真假，假的機率很高，因為很假）
https://crazy.ck101.com/post/13330,沒帶腦出門  老大就在前面 還敢對老大雙黃線刷卡超車
https://crazy.ck101.com/post/13328,好一個政論節目抹黑94狂
